date,vi
2024-01-04,18.69
2024-01-05,18.46
2024-01-09,19.2
2024-01-10,19.62
2024-01-11,21.08
2024-01-12,22.4
2024-01-15,22.47
2024-01-16,21.2
2024-01-17,20.66
2024-01-18,20.45
2024-01-19,20.67
2024-01-22,21.9
2024-01-23,21.06
2024-01-24,19.72
2024-01-25,19.33
2024-01-26,19.64
2024-01-29,19.81
2024-01-30,18.84
2024-01-31,18.96
2024-02-01,18.77
2024-02-02,19.39
2024-02-05,19.97
2024-02-06,19.68
2024-02-07,19.39
2024-02-08,19.8
2024-02-09,19.25
2024-02-13,19.48
2024-02-14,19.48
2024-02-15,19.58
2024-02-16,21.6
2024-02-19,19.88
2024-02-20,19.45
2024-02-21,20.55
2024-02-22,19.56
2024-02-26,21.41
2024-02-27,20.4
2024-02-28,19.22
2024-02-29,19.23
2024-03-01,20.74
2024-03-04,20.98
2024-03-05,20.38
2024-03-06,20.87
2024-03-07,21.65
2024-03-08,21.95
2024-03-11,21.96
2024-03-12,21.52
2024-03-13,21.36
2024-03-14,20.57
2024-03-15,20.33
2024-03-18,20.23
2024-03-19,19.5
2024-03-21,18.83
2024-03-22,18.5
2024-03-25,19.07
2024-03-26,18.72
2024-03-27,19.28
2024-03-28,19.06
2024-03-29,18.57
2024-04-01,19.65
2024-04-02,19.15
2024-04-03,20.12
2024-04-04,19.54
2024-04-05,21.48
2024-04-08,21.24
2024-04-09,20.12
2024-04-10,20.47
2024-04-11,20.73
2024-04-12,19.97
2024-04-15,20.8
2024-04-16,22.09
2024-04-17,22.77
2024-04-18,21.49
2024-04-19,24.43
2024-04-22,21.68
2024-04-23,20.72
2024-04-24,20.01
2024-04-25,21.46
2024-04-26,20.82
2024-04-30,20.47
2024-05-01,20.66
2024-05-02,19.91
2024-05-07,19.2
2024-05-08,20.75
2024-05-09,19.88
2024-05-10,18.53
2024-05-13,18.49
2024-05-14,18.23
2024-05-15,18.45
2024-05-16,17.39
2024-05-17,16.79
2024-05-20,17.22
2024-05-21,17.11
2024-05-22,17.11
2024-05-23,16.25
2024-05-24,16.96
2024-05-27,16.78
2024-05-28,16.23
2024-05-29,16.8
2024-05-30,17.62
2024-05-31,16.84
2024-06-03,17.02
2024-06-04,17.15
2024-06-05,17.77
2024-06-06,17.74
2024-06-07,17.77
2024-06-10,17.98
2024-06-11,17.58
2024-06-12,17.61
2024-06-13,17.15
2024-06-14,16.29
2024-06-17,18.35
2024-06-18,17.11
2024-06-19,16.85
2024-06-20,16.72
2024-06-21,16.33
2024-06-24,17.0
2024-06-25,16.74
2024-06-26,16.68
2024-06-27,16.18
2024-06-28,16.13
2024-07-01,16.04
2024-07-02,16.05
2024-07-03,16.47
2024-07-04,16.84
2024-07-05,16.76
2024-07-08,17.44
2024-07-09,17.47
2024-07-10,17.79
2024-07-11,18.12
2024-07-12,18.37
2024-07-16,17.91
2024-07-17,18.0
2024-07-18,18.85
2024-07-19,19.53
2024-07-22,20.6
2024-07-23,19.06
2024-07-24,19.01
2024-07-25,22.02
2024-07-26,22.2
2024-07-29,21.43
2024-07-30,21.77
2024-07-31,21.39
2024-08-01,21.82
2024-08-02,29.44
2024-08-05,70.69
2024-08-06,51.19
2024-08-07,45.02
2024-08-08,46.62
2024-08-09,45.28
2024-08-13,35.2
2024-08-14,31.32
2024-08-15,27.25
2024-08-16,26.54
2024-08-19,29.52
2024-08-20,27.61
2024-08-21,27.05
2024-08-22,27.13
2024-08-23,25.38
2024-08-26,25.43
2024-08-27,23.65
2024-08-28,22.47
2024-08-29,22.7
2024-08-30,21.32
2024-09-02,21.53
2024-09-03,20.86
2024-09-04,27.05
2024-09-05,29.09
2024-09-06,29.07
2024-09-09,28.72
2024-09-10,28.13
2024-09-11,28.33
2024-09-12,26.73
2024-09-13,28.82
2024-09-17,27.81
2024-09-18,27.14
2024-09-19,25.73
2024-09-20,24.33
2024-09-24,26.62
2024-09-25,24.77
2024-09-26,26.01
2024-09-27,26.51
2024-09-30,28.23
2024-10-01,24.75
2024-10-02,27.85
2024-10-03,26.7
2024-10-04,25.09
2024-10-07,30.19
2024-10-08,33.54
2024-10-09,32.08
2024-10-10,28.67
2024-10-11,28.67
2024-10-15,27.14
2024-10-16,27.3
2024-10-17,26.55
2024-10-18,26.43
2024-10-21,26.24
2024-10-22,27.22
2024-10-23,27.8
2024-10-24,27.8
2024-10-25,32.14
2024-10-28,25.86
2024-10-29,29.44
2024-10-30,25.97
2024-10-31,25.75
2024-11-01,26.03
2024-11-05,27.15
2024-11-06,23.09
2024-11-07,27.52
2024-11-08,26.04
2024-11-11,23.71
2024-11-12,23.08
2024-11-13,24.79
2024-11-14,24.38
2024-11-15,23.22
2024-11-18,26.12
2024-11-19,24.65
2024-11-20,23.42
2024-11-21,26.15
2024-11-22,23.64
2024-11-25,20.85
2024-11-26,20.77
2024-11-27,22.95
2024-11-28,24.07
2024-11-29,22.31
2024-12-02,18.72
2024-12-03,22.84
2024-12-04,21.27
2024-12-05,22.23
2024-12-06,22.92
2024-12-09,21.43
2024-12-10,22.56
2024-12-11,22.4
2024-12-12,21.97
2024-12-13,21.63
2024-12-16,19.96
2024-12-17,19.57
2024-12-18,21.12
2024-12-19,23.9
2024-12-20,23.18
2024-12-23,21.84
