"日付","終値","始値","高値","安値","出来高","変化率 %"
"2026-07-31","29.38","30.71","38.96","29.21","","-26.16%"
"2026-07-30","39.79","39.28","41.96","38.33","","0.68%"
"2026-07-29","39.52","40.57","46.50","39.39","","-3.94%"
"2026-07-28","41.14","38.75","42.81","38.01","","26.94%"
"2026-07-27","32.41","38.22","40.22","32.41","","-1.43%"
"2026-07-24","32.88","38.71","40.47","32.88","","-5.57%"
"2026-07-23","34.82","37.27","38.30","34.14","","6.84%"
"2026-07-22","32.59","37.15","39.03","32.59","","-1.45%"
"2026-07-21","33.07","39.52","40.49","33.07","","-10.28%"
"2026-07-17","36.86","34.93","42.95","34.21","","14.22%"
"2026-07-16","32.27","33.47","34.08","32.27","","0.84%"
"2026-07-15","32.00","32.90","33.24","32.00","","-9.58%"
"2026-07-14","35.39","35.36","36.09","34.14","","-4.94%"
"2026-07-13","37.23","33.06","37.23","32.78","","-2.36%"
"2026-07-10","38.13","38.94","38.94","33.29","","-12.98%"
"2026-07-09","43.82","44.18","44.30","38.02","","0.39%"
"2026-07-08","43.65","38.76","45.25","36.97","","46.97%"
"2026-07-07","29.70","36.24","37.47","29.70","","-20.50%"
"2026-07-06","37.36","36.97","38.32","36.86","","9.53%"
"2026-07-03","34.11","39.20","39.51","34.11","","37.87%"
"2026-07-02","24.74","38.82","40.42","24.74","","-26.76%"
"2026-07-01","33.78","37.78","39.52","33.78","","-11.80%"
"2026-06-30","38.30","39.09","40.86","37.23","","-11.67%"
"2026-06-29","43.36","43.98","46.91","41.38","","30.92%"
"2026-06-26","33.12","38.24","45.61","33.12","","7.64%"
"2026-06-25","30.77","36.64","38.69","30.77","","-22.47%"
"2026-06-24","39.69","40.00","41.60","37.98","","26.64%"
"2026-06-23","31.34","35.02","41.56","31.34","","6.49%"
"2026-06-22","29.43","33.95","35.81","29.43","","-1.70%"
"2026-06-19","29.94","33.37","34.59","29.94","","-1.93%"
"2026-06-18","30.53","31.82","33.25","30.53","","4.88%"
"2026-06-17","29.11","33.41","33.41","29.11","","-6.37%"
"2026-06-16","31.09","34.62","34.85","31.09","","-10.61%"
"2026-06-15","34.78","37.79","37.86","34.78","","-6.71%"
"2026-06-12","37.28","33.52","39.49","33.52","","-2.46%"
